event_id,StationId,start_time,end_time,duration_min,rows,alarm_code_mode,alarm_description,stopping_alarm
55,2304518,2016-06-23 16:10:00,2016-06-23 16:10:00,0,1,10105,"Stopped, untwisting cables",1
56,2304518,2016-06-26 08:40:00,2016-06-26 08:40:00,0,1,3130,Pitch lubrication,1
57,2304518,2016-06-28 07:40:00,2016-06-28 12:50:00,310,32,1005,Unknown alarm,1
58,2304518,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,3173,Unknown alarm,0
59,2304519,2016-06-02 03:40:00,2016-06-02 03:40:00,0,1,3130,Pitch lubrication,1
60,2304519,2016-06-07 03:40:00,2016-06-07 03:40:00,0,1,3130,Pitch lubrication,1
61,2304519,2016-06-12 03:40:00,2016-06-12 03:40:00,0,1,3130,Pitch lubrication,1
62,2304519,2016-06-17 17:00:00,2016-06-17 17:00:00,0,1,3130,Pitch lubrication,1
63,2304519,2016-06-22 17:00:00,2016-06-22 17:00:00,0,1,3130,Pitch lubrication,1
64,2304519,2016-06-23 13:00:00,2016-06-23 13:00:00,0,1,10105,"Stopped, untwisting cables",1
65,2304519,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0
66,2304520,2016-06-09 11:20:00,2016-06-09 12:30:00,70,8,1005,Availability - low wind,1
67,2304520,2016-06-11 20:30:00,2016-06-13 08:20:00,2150,216,63002,Unknown alarm,0
68,2304520,2016-06-13 12:10:00,2016-07-01 00:00:00,25190,2520,63002,Unknown alarm,1
69,2304521,2016-06-02 10:00:00,2016-06-02 10:10:00,10,2,1001,Unknown alarm,0
70,2304521,2016-06-17 10:10:00,2016-06-17 10:50:00,40,5,1015,Unknown alarm,0
71,2304521,2016-06-19 07:00:00,2016-06-19 07:10:00,10,2,10101,"Stopped, untwisting cables",1
