StationId,date,event_count,total_abnormal_minutes,max_single_event_minutes,stopping_event_count,distinct_alarm_code_count,alarm_codes,alarm_descriptions,top_severity,first_event_time,last_event_time,health_label,summary_hint
2304528,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,15:30,15:30,ALARM,2016-06-23 turbine 2304528; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 15:30 to 15:30; health label: ALARM
2304528,2016-06-26,1,0,0,1,1,3130,Pitch lubrication,ALARM,12:10,12:10,ALARM,2016-06-26 turbine 2304528; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 12:10 to 12:10; health label: ALARM
2304528,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304528; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304529,2016-06-01,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-01 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-03,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,05:30,05:30,ALARM,2016-06-03 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 05:30 to 05:30; health label: ALARM
2304529,2016-06-06,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-06 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-11,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-11 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-16,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-16 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-21,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-21 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-22,1,180,180,0,1,1001,Unknown alarm,ATTENTION,10:20,13:20,ATTENTION,2016-06-22 turbine 2304529; 1 abnormal events; total abnormal duration 180 min; alarm codes: 1001; active window 10:20 to 13:20; health label: ATTENTION
2304529,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:40,13:40,ALARM,2016-06-23 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:40 to 13:40; health label: ALARM
2304529,2016-06-26,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-26 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304529; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304530,2016-06-04,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,18:30,18:30,ALARM,2016-06-04 turbine 2304530; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 18:30 to 18:30; health label: ALARM
2304530,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,15:20,15:20,ALARM,2016-06-23 turbine 2304530; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 15:20 to 15:20; health label: ALARM
2304530,2016-06-30,1,10,10,0,1,5113,Unknown alarm,INFO,05:00,05:10,INFO,2016-06-30 turbine 2304530; 1 abnormal events; total abnormal duration 10 min; alarm codes: 5113; active window 05:00 to 05:10; health label: INFO
